"","study.accession","experiment.accession","strain","sample_title","description","cell_line","sample_name","bioproject_id"
"11","DRP002586","DRX022625","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"12","DRP002586","DRX022623","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"13","DRP002586","DRX022622","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"14","DRP002586","DRX022650","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"15","DRP002586","DRX022615","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"16","DRP002586","DRX022618","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"17","DRP002586","DRX022490","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"18","DRP002586","DRX022702","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"19","DRP002586","DRX022692","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"20","DRP002586","DRX022716","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"21","DRP002586","DRX022570","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"22","DRP002586","DRX022606","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"23","DRP002586","DRX022687","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"24","DRP002586","DRX022534","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"25","DRP002586","DRX022630","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"26","DRP002586","DRX022706","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"27","DRP002586","DRX022579","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"28","DRP002586","DRX022495","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"29","DRP002586","DRX022686","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"30","DRP002586","DRX022531","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"31","DRP002586","DRX022492","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"32","DRP002586","DRX022467","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"33","DRP002586","DRX022659","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"34","DRP002586","DRX022642","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"35","DRP002586","DRX022513","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"36","DRP002586","DRX022689","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"37","DRP002586","DRX022511","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
"38","DRP002586","DRX022712","LC2ad","LC2ad_SingleCell_RNAseq","The LC2/ad lines were acquired from the RIKEN Bio Resource Center under the catalogue numbers of v. The LC2/ad cell lines were cultured in collagen Type I-coated dishes. 10x6 cells were harvested and used for the single-cell RNA-Seq analyses using the C1 system (Fluidigm). Briefly, 96 cells were captured in the flow cells and separated into independent chambers. First-strand cDNA was synthesized and further amplified using the SMARTer system (clontech). Illumina sequencing libraries were constructed using Nextera XT DNA Sample Preparation kit (illumina). After evaluation of the quality and quantity of the constructed RNA-Seq libraries using a BioAnalyzer (Agilent), sequencing was performed on the HiSeq2500 platform with a 100base paired-end read.","LC2/ad","LC2ad_SingleCell_RNAseq","PRJDB2345"
