"","study.accession","experiment.accession","source_name","cell.type","cell.subtype...mutation","condition","treatment"
"49","SRP098916","SRX2539894","MCF7","MCF7","Y537N","White Medium","E2"
"50","SRP098916","SRX2539924","MCF7","MCF7","Y537N","White Medium","Doxycycline + E2"
"51","SRP098916","SRX2539871","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"52","SRP098916","SRX2539887","MCF7","MCF7","Y537N","White Medium","none"
"53","SRP098916","SRX2539846","T47D","T47D","Y537S","Full Medium","none"
"54","SRP098916","SRX2539935","T47D","T47D","Y537S","White Medium","Doxycycline"
"55","SRP098916","SRX2539862","MCF7","MCF7","Y537S","Full Medium","none"
"56","SRP098916","SRX2539845","T47D","T47D","Y537S","Full Medium","none"
"57","SRP098916","SRX2539875","MCF7","MCF7","Y537S","White Medium","E2"
"58","SRP098916","SRX2539886","MCF7","MCF7","Y537N","White Medium","none"
"59","SRP098916","SRX2539916","MCF7","MCF7","D538G","White Medium","E2"
"60","SRP098916","SRX2539897","MCF7","MCF7","Y537N","White Medium","Doxycycline + E2"
"61","SRP098916","SRX2539880","MCF7","MCF7","Y537N","Full Medium","none"
"62","SRP098916","SRX2539914","MCF7","MCF7","D538G","White Medium","Doxycycline + E2"
"63","SRP098916","SRX2539860","T47D","T47D","Y537S","White Medium","Doxycycline + E2"
"64","SRP098916","SRX2539927","MCF7","MCF7","Y537S","White Medium","E2"
"65","SRP098916","SRX2539920","MCF7","MCF7","Y537N","White Medium","E2"
"66","SRP098916","SRX2539925","MCF7","MCF7","Y537S","White Medium","E2"
"67","SRP098916","SRX2539917","MCF7","MCF7","D538G","White Medium","Doxycycline"
"68","SRP098916","SRX2539926","MCF7","MCF7","Y537S","White Medium","E2"
"69","SRP098916","SRX2539901","MCF7","MCF7","D538G","Full Medium","none"
"70","SRP098916","SRX2539883","MCF7","MCF7","Y537N","Full Medium","none"
"71","SRP098916","SRX2539858","T47D","T47D","Y537S","White Medium","E2"
"72","SRP098916","SRX2539932","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"73","SRP098916","SRX2539863","MCF7","MCF7","Y537S","Full Medium","none"
"74","SRP098916","SRX2693220","MCF7","MCF7","Parental","White Medium","E2"
"75","SRP098916","SRX2539872","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"76","SRP098916","SRX2539918","MCF7","MCF7","D538G","White Medium","Doxycycline + E2"
"77","SRP098916","SRX2539892","MCF7","MCF7","Y537N","White Medium","E2"
"78","SRP098916","SRX2539904","MCF7","MCF7","D538G","White Medium","none"
"79","SRP098916","SRX2539853","T47D","T47D","Y537S","White Medium","Doxycycline"
"80","SRP098916","SRX2539890","MCF7","MCF7","Y537N","White Medium","Doxycycline"
"81","SRP098916","SRX2539922","MCF7","MCF7","Y537N","White Medium","Doxycycline"
"82","SRP098916","SRX2539879","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"83","SRP098916","SRX2539850","T47D","T47D","Y537S","White Medium","none"
"84","SRP098916","SRX2539869","MCF7","MCF7","Y537S","White Medium","none"
"85","SRP098916","SRX2539933","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"86","SRP098916","SRX2539906","MCF7","MCF7","D538G","White Medium","none"
"87","SRP098916","SRX2539908","MCF7","MCF7","D538G","White Medium","Doxycycline"
"88","SRP098916","SRX2539844","T47D","T47D","Y537S","Full Medium","none"
"89","SRP098916","SRX2539919","MCF7","MCF7","Y537N","White Medium","E2"
"90","SRP098916","SRX2539882","MCF7","MCF7","Y537N","Full Medium","none"
"91","SRP098916","SRX2539911","MCF7","MCF7","D538G","White Medium","E2"
"92","SRP098916","SRX2693219","MCF7","MCF7","Parental","White Medium","none"
"93","SRP098916","SRX2539867","MCF7","MCF7","Y537S","Full Medium","none"
"94","SRP098916","SRX2539884","MCF7","MCF7","Y537N","Full Medium","none"
"95","SRP098916","SRX2693222","MCF7","MCF7","Y537S","White Medium","E2"
"96","SRP098916","SRX2539856","T47D","T47D","Y537S","White Medium","E2"
"97","SRP098916","SRX2539903","MCF7","MCF7","D538G","Full Medium","none"
