"","study.accession","experiment.accession","source_name","data.subset","genotype.variation","tumor.status"
"101","SRP068970","SRX1549615","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"102","SRP068970","SRX1549841","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"103","SRP068970","SRX1549801","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"104","SRP068970","SRX1549706","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"105","SRP068970","SRX1549843","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"106","SRP068970","SRX1549811","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"107","SRP068970","SRX1549867","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"108","SRP068970","SRX1549725","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"109","SRP068970","SRX1549870","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"110","SRP068970","SRX1549566","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"111","SRP068970","SRX1549709","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"112","SRP068970","SRX1549545","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"113","SRP068970","SRX1549874","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"114","SRP068970","SRX1549551","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"115","SRP068970","SRX1549668","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"116","SRP068970","SRX1549788","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"117","SRP068970","SRX1549679","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"118","SRP068970","SRX1549884","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"119","SRP068970","SRX1549562","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"120","SRP068970","SRX1549629","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"121","SRP068970","SRX1549581","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"122","SRP068970","SRX1549881","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"123","SRP068970","SRX1549496","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"124","SRP068970","SRX1549778","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"125","SRP068970","SRX1549687","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"126","SRP068970","SRX1549708","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"127","SRP068970","SRX1549782","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"128","SRP068970","SRX1549847","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"129","SRP068970","SRX1549559","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"130","SRP068970","SRX1549732","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"131","SRP068970","SRX1549715","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"132","SRP068970","SRX1549550","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"133","SRP068970","SRX1549823","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"134","SRP068970","SRX1549597","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"135","SRP068970","SRX1549586","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"136","SRP068970","SRX1549712","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"137","SRP068970","SRX1549688","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"138","SRP068970","SRX1549613","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"139","SRP068970","SRX1549658","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"140","SRP068970","SRX1549652","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"141","SRP068970","SRX1549667","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"142","SRP068970","SRX1549504","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"143","SRP068970","SRX1549541","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"144","SRP068970","SRX1549606","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"145","SRP068970","SRX1549690","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"146","SRP068970","SRX1549694","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"147","SRP068970","SRX1549838","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"148","SRP068970","SRX1549842","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"149","SRP068970","SRX1549809","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"150","SRP068970","SRX1549727","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"151","SRP068970","SRX1549532","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"152","SRP068970","SRX1549677","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"153","SRP068970","SRX1549726","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"154","SRP068970","SRX1549584","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"155","SRP068970","SRX1549803","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"156","SRP068970","SRX1549695","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"157","SRP068970","SRX1549789","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"158","SRP068970","SRX1549749","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"159","SRP068970","SRX1549770","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"160","SRP068970","SRX1549736","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"161","SRP068970","SRX1549734","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"162","SRP068970","SRX1549674","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"163","SRP068970","SRX1549676","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"164","SRP068970","SRX1549735","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"165","SRP068970","SRX1549565","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"166","SRP068970","SRX1549756","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"167","SRP068970","SRX1549765","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"168","SRP068970","SRX1549505","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"169","SRP068970","SRX1549630","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"170","SRP068970","SRX1549594","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"171","SRP068970","SRX1549721","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"172","SRP068970","SRX1549848","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"173","SRP068970","SRX1549646","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"174","SRP068970","SRX1549553","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"175","SRP068970","SRX1549605","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"176","SRP068970","SRX1549563","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"177","SRP068970","SRX1549781","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"178","SRP068970","SRX1549751","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"179","SRP068970","SRX1549818","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"180","SRP068970","SRX1549776","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"181","SRP068970","SRX1549640","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"182","SRP068970","SRX1549746","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"183","SRP068970","SRX1549862","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"184","SRP068970","SRX1549525","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"185","SRP068970","SRX1549535","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"186","SRP068970","SRX1549673","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"187","SRP068970","SRX1549569","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"188","SRP068970","SRX1549777","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"189","SRP068970","SRX1549839","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"190","SRP068970","SRX1549702","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"191","SRP068970","SRX1549864","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"192","SRP068970","SRX1549851","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"193","SRP068970","SRX1549536","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"194","SRP068970","SRX1549793","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"195","SRP068970","SRX1549497","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"196","SRP068970","SRX1549859","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"197","SRP068970","SRX1549647","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"198","SRP068970","SRX1549576","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"199","SRP068970","SRX1549831","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"200","SRP068970","SRX1549564","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"201","SRP068970","SRX1549639","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"202","SRP068970","SRX1549744","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"203","SRP068970","SRX1549510","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"204","SRP068970","SRX1549745","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"205","SRP068970","SRX1549489","Xenograft Tumor","Xenograft","CSL -/-","Early graft"
"206","SRP068970","SRX1549675","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"207","SRP068970","SRX1549800","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"208","SRP068970","SRX1549632","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"209","SRP068970","SRX1549620","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"210","SRP068970","SRX1549611","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"211","SRP068970","SRX1549693","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"212","SRP068970","SRX1549617","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"213","SRP068970","SRX1549689","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"214","SRP068970","SRX1549754","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"215","SRP068970","SRX1549827","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"216","SRP068970","SRX1549868","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"217","SRP068970","SRX1549648","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
