"","study.accession","experiment.accession","source_name","sample.pool.name","sample.type","cell.line","disease.state","patient.id","ets.fusion.status","tissue.harvest.site"
"22","SRP004637","SRX031949","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"23","SRP004637","SRX031932","prostate gland","LNCaP CDS2","Cell Line","LNCaP CDS2","cancer","NA","ETV1+","Lymph node"
"24","SRP004637","SRX031915","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"25","SRP004637","SRX031921","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"26","SRP004637","SRX031943","prostate gland","PrSMC","Cell Line","PrSMC","benign","NA","ETS-","None"
"27","SRP004637","SRX031927","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"28","SRP004637","SRX031936","prostate gland","PC3","Cell Line","PC3","cancer","NA","ETS-","None"
"29","SRP004637","SRX031963","prostate gland","WPE1-NB26","Cell Line","prostate cancer","cancer","NA","ETS-","None"
"30","SRP004637","SRX031957","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"31","SRP004637","SRX031907","prostate gland","22Rv1","Cell Line","22Rv1","cancer","NA","ETS-","None"
"32","SRP004637","SRX031950","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"33","SRP004637","SRX031933","prostate gland","LNCaP CDS3","Cell Line","LNCaP CDS3","cancer","NA","ETV1+","Lymph node"
"34","SRP004637","SRX031938","prostate gland","PWR-1E","Cell Line","PWR-1E","benign","NA","ETS-","None"
"35","SRP004637","SRX031954","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"36","SRP004637","SRX031925","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"37","SRP004637","SRX031919","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"38","SRP004637","SRX031934","prostate gland","MDA PCa 2b","Cell Line","MDA PCa 2b","cancer","NA","ETS-","None"
"39","SRP004637","SRX031951","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"40","SRP004637","SRX031930","prostate gland","LNCaP CDS parent","Cell Line","LNCaP CDS parent","cancer","NA","ETV1+","Lymph node"
"41","SRP004637","SRX031941","prostate gland","PrEC","Cell Line","PrEC","benign","NA","ETS-","None"
"42","SRP004637","SRX031962","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"43","SRP004637","SRX031940","prostate gland","PrEC","Cell Line","PrEC","benign","NA","ETS-","None"
"44","SRP004637","SRX031959","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"45","SRP004637","SRX031935","prostate gland","NCI-H660","Cell Line","NCI-H660","cancer","NA","ERG+","None"
"46","SRP004637","SRX031917","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"47","SRP004637","SRX031955","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"48","SRP004637","SRX031961","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"49","SRP004637","SRX031942","prostate gland","PrEC","Cell Line","PrEC","benign","NA","ETS-","None"
"50","SRP004637","SRX031946","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"51","SRP004637","SRX031944","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"52","SRP004637","SRX031952","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"53","SRP004637","SRX031960","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"54","SRP004637","SRX031914","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","None"
"55","SRP004637","SRX031928","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"56","SRP004637","SRX031910","prostate gland","CA-HPV-10","Cell Line","CA-HPV-10","cancer","NA","ETS-","None"
"57","SRP004637","SRX031920","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"58","SRP004637","SRX031916","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
