"","study.accession","experiment.accession","source_name","cell.line","tissue","drug","concentration","treatment.duration"
"32","SRP092004","SRX2266654","Urinary bladder carcinoma","RT112","bladder","DMSO","0.1%","48h"
"33","SRP092004","SRX2266636","Lung Adenocarcinoma","PC9","Lung","DMSO","0.1%","48h"
"34","SRP092004","SRX2266585","Melanoma","A375","Lung","Vemurafenib","1 uM","48h"
"35","SRP092004","SRX2266643","Lung Adenocarcinoma","PC9","Lung","THZ1","100nM","48h"
"36","SRP092004","SRX2266656","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","7D"
"37","SRP092004","SRX2266605","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","48h"
"38","SRP092004","SRX2266659","Urinary bladder carcinoma","RT112","bladder","THZ1","100nM","48h"
"39","SRP092004","SRX2266627","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","7D"
"40","SRP092004","SRX2266597","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","48h"
"41","SRP092004","SRX2266623","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","7D"
"42","SRP092004","SRX2266616","Gastric Carcinoma","N87","Stomach","Lapatinib / THZ1","100nM / 25 nM","48h"
"43","SRP092004","SRX2266607","Lung Adenocarcinoma","H3122","Lung","DMSO","0.1%","48h"
"44","SRP092004","SRX2266590","Lung Adenocarcinoma","A549","Lung","DMSO","0.1%","48h"
"45","SRP092004","SRX2266579","Melanoma","A375","Skin","THZ1","50nM","48h"
"46","SRP092004","SRX2266625","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","7D"
"47","SRP092004","SRX2266657","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","7D"
"48","SRP092004","SRX2266650","Urinary bladder carcinoma","RT112","bladder","THZ1 / BGJ398","100nM / 1 uM","48h"
"49","SRP092004","SRX2266621","Gastric Carcinoma","N87","Stomach","DMSO","0.1%","48h"
"50","SRP092004","SRX2266580","Melanoma","A375","Skin","Vemurafenib","1 uM","7D"
"51","SRP092004","SRX2266631","Lung Adenocarcinoma","PC9","Lung","Erlotinib / THZ1","1 uM / 100nM","48h"
"52","SRP092004","SRX2266617","Gastric Carcinoma","N87","Stomach","Lapatinib / THZ1","100nM / 25 nM","48h"
"53","SRP092004","SRX2266606","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","48h"
"54","SRP092004","SRX2266622","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","48h"
"55","SRP092004","SRX2266595","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","7D"
"56","SRP092004","SRX2266653","Urinary bladder carcinoma","RT112","bladder","DMSO","0.1%","48h"
"57","SRP092004","SRX2266602","Lung Adenocarcinoma","H3122","Lung","THZ1 / Crizotinib","50nM / 250nM","48h"
"58","SRP092004","SRX2266575","Melanoma","A375","Skin","DMSO","0.1%","48h"
"59","SRP092004","SRX2266586","Lung Adenocarcinoma","A549","Lung","THZ1 / GSK1120212","150nM / 200 nM","48h"
"60","SRP092004","SRX2266641","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","7D"
"61","SRP092004","SRX2266613","Lung Adenocarcinoma","H3122","Lung","THZ1","50nM","48h"
"62","SRP092004","SRX2266610","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","7D"
"63","SRP092004","SRX2266620","Gastric Carcinoma","N87","Stomach","DMSO","0.1%","48h"
"64","SRP092004","SRX2266594","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","7D"
"65","SRP092004","SRX2266576","Melanoma","A375","Skin","DMSO","0.1%","48h"
"66","SRP092004","SRX2266615","Lung Adenocarcinoma","H3122","Lung","THZ1","50nM","48h"
"67","SRP092004","SRX2266640","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","7D"
"68","SRP092004","SRX2266612","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","7D"
"69","SRP092004","SRX2266646","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","48h"
"70","SRP092004","SRX2266581","Melanoma","A375","Skin","Vemurafenib","1 uM","48h"
"71","SRP092004","SRX2266592","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","7D"
"72","SRP092004","SRX2266655","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","7D"
"73","SRP092004","SRX2266599","Lung Adenocarcinoma","A549","Lung","THZ1","150nM","48h"
"74","SRP092004","SRX2266600","Lung Adenocarcinoma","A549","Lung","THZ1","150nM","48h"
"75","SRP092004","SRX2266638","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","48h"
"76","SRP092004","SRX2266660","Urinary bladder carcinoma","RT112","bladder","THZ1","100nM","48h"
"77","SRP092004","SRX2266572","Melanoma","A375","Skin","Vemurafenib / THZ1","1 uM / 50 nM","48h"
"78","SRP092004","SRX2266647","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","48h"
"79","SRP092004","SRX2266582","Melanoma","A375","Skin","Vemurafenib","1 uM","7D"
"80","SRP092004","SRX2266573","Melanoma","A375","Skin","Vemurafenib / THZ1","1 uM / 50 nM","48h"
"81","SRP092004","SRX2266601","Lung Adenocarcinoma","H3122","Lung","THZ1 / Crizotinib","50nM / 250nM","48h"
"82","SRP092004","SRX2266630","Gastric Carcinoma","N87","Stomach","THZ1","25 nM","48h"
"83","SRP092004","SRX2266589","Lung Adenocarcinoma","A549","Lung","DMSO","0.1%","48h"
"84","SRP092004","SRX2266598","Lung Adenocarcinoma","A549","Lung","THZ1","150nM","48h"
"85","SRP092004","SRX2266642","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","7D"
"86","SRP092004","SRX2266578","Melanoma","A375","Skin","THZ1","50nM","48h"
"87","SRP092004","SRX2266618","Gastric Carcinoma","N87","Stomach","Lapatinib / THZ1","100nM / 25 nM","48h"
"88","SRP092004","SRX2266611","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","7D"
"89","SRP092004","SRX2266626","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","48h"
"90","SRP092004","SRX2266648","Urinary bladder carcinoma","RT112","bladder","BGJ398","1 uM","48h"
