"","study.accession","experiment.accession","source_name","cell.line","tissue","irradiation"
"30","SRP075613","SRX1796601","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"31","SRP075613","SRX1796430","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"32","SRP075613","SRX1796622","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"33","SRP075613","SRX1796354","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"34","SRP075613","SRX1796459","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"35","SRP075613","SRX1796508","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"36","SRP075613","SRX1796518","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"37","SRP075613","SRX1796392","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"38","SRP075613","SRX1796477","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"39","SRP075613","SRX1796554","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"40","SRP075613","SRX1796370","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"41","SRP075613","SRX1796490","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"42","SRP075613","SRX1796359","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"43","SRP075613","SRX1796462","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"44","SRP075613","SRX1796517","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"45","SRP075613","SRX1796528","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"46","SRP075613","SRX1796543","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"47","SRP075613","SRX1796545","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"48","SRP075613","SRX1796498","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"49","SRP075613","SRX1796564","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"50","SRP075613","SRX1796568","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"51","SRP075613","SRX1796382","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"52","SRP075613","SRX1796461","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"53","SRP075613","SRX1796434","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"54","SRP075613","SRX1796523","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"55","SRP075613","SRX1796365","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"56","SRP075613","SRX1796345","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"57","SRP075613","SRX1796399","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"58","SRP075613","SRX1796526","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"59","SRP075613","SRX1796489","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"60","SRP075613","SRX1796469","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"61","SRP075613","SRX1796549","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"62","SRP075613","SRX1796351","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"63","SRP075613","SRX1796527","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"64","SRP075613","SRX1796513","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"65","SRP075613","SRX1796366","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"66","SRP075613","SRX1796589","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"67","SRP075613","SRX1796411","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"68","SRP075613","SRX1796639","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"69","SRP075613","SRX1796522","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"70","SRP075613","SRX1796638","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"71","SRP075613","SRX1796640","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"72","SRP075613","SRX1796540","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"73","SRP075613","SRX1796455","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"74","SRP075613","SRX1796440","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"75","SRP075613","SRX1796353","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"76","SRP075613","SRX1796654","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"77","SRP075613","SRX1796500","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"78","SRP075613","SRX1796580","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"79","SRP075613","SRX1796369","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"80","SRP075613","SRX1796386","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"81","SRP075613","SRX1796387","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"82","SRP075613","SRX1796456","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"83","SRP075613","SRX1796401","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"84","SRP075613","SRX1796605","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"85","SRP075613","SRX1796538","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"86","SRP075613","SRX1796594","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"87","SRP075613","SRX1796609","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"88","SRP075613","SRX1796647","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"89","SRP075613","SRX1796503","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"90","SRP075613","SRX1796352","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"91","SRP075613","SRX1796402","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"92","SRP075613","SRX1796600","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"93","SRP075613","SRX1796542","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"94","SRP075613","SRX1796473","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"95","SRP075613","SRX1796447","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"96","SRP075613","SRX1796551","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"97","SRP075613","SRX1796537","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"98","SRP075613","SRX1796539","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"99","SRP075613","SRX1796377","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"100","SRP075613","SRX1796425","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"101","SRP075613","SRX1796413","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"102","SRP075613","SRX1796516","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"103","SRP075613","SRX1796364","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"104","SRP075613","SRX1796483","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"105","SRP075613","SRX1796394","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"106","SRP075613","SRX1796646","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"107","SRP075613","SRX1796409","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"108","SRP075613","SRX1796630","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"109","SRP075613","SRX1796407","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"110","SRP075613","SRX1796525","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"111","SRP075613","SRX1796582","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"112","SRP075613","SRX1796620","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"113","SRP075613","SRX1796482","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"114","SRP075613","SRX1796511","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"115","SRP075613","SRX1796634","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"116","SRP075613","SRX1796621","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"117","SRP075613","SRX1796574","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"118","SRP075613","SRX1796610","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"119","SRP075613","SRX1796623","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"120","SRP075613","SRX1796619","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"121","SRP075613","SRX1796381","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"122","SRP075613","SRX1796575","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"123","SRP075613","SRX1796643","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"124","SRP075613","SRX1796506","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"125","SRP075613","SRX1796592","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"126","SRP075613","SRX1796480","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"127","SRP075613","SRX1796466","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"128","SRP075613","SRX1796488","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"129","SRP075613","SRX1796612","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"130","SRP075613","SRX1796553","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"131","SRP075613","SRX1796400","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"132","SRP075613","SRX1796631","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"133","SRP075613","SRX1796563","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"134","SRP075613","SRX1796391","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"135","SRP075613","SRX1796344","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"136","SRP075613","SRX1796389","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"137","SRP075613","SRX1796431","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"138","SRP075613","SRX1796583","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"139","SRP075613","SRX1796427","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"140","SRP075613","SRX1796435","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"141","SRP075613","SRX1796520","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"142","SRP075613","SRX1796591","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"143","SRP075613","SRX1796457","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"144","SRP075613","SRX1796524","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"145","SRP075613","SRX1796442","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"146","SRP075613","SRX1796433","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"147","SRP075613","SRX1796486","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"148","SRP075613","SRX1796384","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"149","SRP075613","SRX1796418","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"150","SRP075613","SRX1796475","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"151","SRP075613","SRX1796426","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"152","SRP075613","SRX1796454","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"153","SRP075613","SRX1796468","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"154","SRP075613","SRX1796560","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"155","SRP075613","SRX1796536","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"156","SRP075613","SRX1796446","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"157","SRP075613","SRX1796343","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"158","SRP075613","SRX1796602","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"159","SRP075613","SRX1796481","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"160","SRP075613","SRX1796510","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"161","SRP075613","SRX1796437","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"162","SRP075613","SRX1796443","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"163","SRP075613","SRX1796544","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"164","SRP075613","SRX1796530","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"165","SRP075613","SRX1796550","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"166","SRP075613","SRX1796361","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"167","SRP075613","SRX1796653","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"168","SRP075613","SRX1796547","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"169","SRP075613","SRX1796492","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"170","SRP075613","SRX1796395","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"171","SRP075613","SRX1796499","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"172","SRP075613","SRX1796599","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"173","SRP075613","SRX1796451","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"174","SRP075613","SRX1796357","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"175","SRP075613","SRX1796405","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"176","SRP075613","SRX1796572","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"177","SRP075613","SRX1796450","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"178","SRP075613","SRX1796604","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"179","SRP075613","SRX1796629","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"180","SRP075613","SRX1796476","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"181","SRP075613","SRX1796363","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"182","SRP075613","SRX1796514","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"183","SRP075613","SRX1796360","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"184","SRP075613","SRX1796378","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"185","SRP075613","SRX1796559","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"186","SRP075613","SRX1796421","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"187","SRP075613","SRX1796376","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"188","SRP075613","SRX1796562","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"189","SRP075613","SRX1796656","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"190","SRP075613","SRX1796347","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"191","SRP075613","SRX1796606","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"192","SRP075613","SRX1796375","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"193","SRP075613","SRX1796649","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"194","SRP075613","SRX1796625","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"195","SRP075613","SRX1796463","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"196","SRP075613","SRX1796581","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"197","SRP075613","SRX1796651","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"198","SRP075613","SRX1796420","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"199","SRP075613","SRX1796453","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"200","SRP075613","SRX1796533","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"201","SRP075613","SRX1796584","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"202","SRP075613","SRX1796449","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"203","SRP075613","SRX1796617","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"204","SRP075613","SRX1796519","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
