"","study.accession","experiment.accession","source_name","tissue","tissue.type","tissue.archive.method","subtypes","insert.size"
"31","SRP049097","SRX737040","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","156"
"32","SRP049097","SRX737074","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","137"
"33","SRP049097","SRX737060","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","135"
"34","SRP049097","SRX737059","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","135"
"35","SRP049097","SRX737061","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","148"
"36","SRP049097","SRX737067","normal skeletal muscle","Soft Tissue","normal skeletal muscle","FFPE","Unknown","139"
"37","SRP049097","SRX737064","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","151"
"38","SRP049097","SRX737065","normal lung","Soft Tissue","normal lung","FFPE","Unknown","142"
"39","SRP049097","SRX737073","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","137"
"40","SRP049097","SRX737049","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","149"
"41","SRP049097","SRX737029","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","148"
"42","SRP049097","SRX737050","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","151"
"43","SRP049097","SRX737034","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","134"
"44","SRP049097","SRX737027","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","138"
"45","SRP049097","SRX737053","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","146"
"46","SRP049097","SRX737055","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","141"
"47","SRP049097","SRX737046","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","153"
"48","SRP049097","SRX737038","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","159"
"49","SRP049097","SRX737025","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","136"
"50","SRP049097","SRX737058","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","153"
"51","SRP049097","SRX737033","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","133"
"52","SRP049097","SRX737037","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","157"
"53","SRP049097","SRX737051","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","146"
"54","SRP049097","SRX737077","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","137"
