"","study.accession","experiment.accession","source_name","cell.type","cell.source"
"57","SRP063840","SRX1253717","PDX, primary RCC_13","primary renal cell carcinoma","patient-derived xenograft"
"58","SRP063840","SRX1253782","patient, metastatic RCC_30","metastatic renal cell carcinoma","patient"
"59","SRP063840","SRX1253755","patient, metastatic RCC_3","metastatic renal cell carcinoma","patient"
"60","SRP063840","SRX1253784","patient, metastatic RCC_32","metastatic renal cell carcinoma","patient"
"61","SRP063840","SRX1253750","PDX, primary RCC_46","primary renal cell carcinoma","patient-derived xenograft"
"62","SRP063840","SRX1253764","patient, metastatic RCC_12","metastatic renal cell carcinoma","patient"
"63","SRP063840","SRX1253693","PDX, metastatic RCC_26","metastatic renal cell carcinoma","patient-derived xenograft"
"64","SRP063840","SRX1253744","PDX, primary RCC_40","primary renal cell carcinoma","patient-derived xenograft"
"65","SRP063840","SRX1253677","PDX, metastatic RCC_10","metastatic renal cell carcinoma","patient-derived xenograft"
"66","SRP063840","SRX1253727","PDX, primary RCC_23","primary renal cell carcinoma","patient-derived xenograft"
"67","SRP063840","SRX1253731","PDX, primary RCC_27","primary renal cell carcinoma","patient-derived xenograft"
"68","SRP063840","SRX1253713","PDX, primary RCC_9","primary renal cell carcinoma","patient-derived xenograft"
"69","SRP063840","SRX1253770","patient, metastatic RCC_18","metastatic renal cell carcinoma","patient"
"70","SRP063840","SRX1253705","PDX, primary RCC_1","primary renal cell carcinoma","patient-derived xenograft"
"71","SRP063840","SRX1253714","PDX, primary RCC_10","primary renal cell carcinoma","patient-derived xenograft"
"72","SRP063840","SRX1253749","PDX, primary RCC_45","primary renal cell carcinoma","patient-derived xenograft"
"73","SRP063840","SRX1253769","patient, metastatic RCC_17","metastatic renal cell carcinoma","patient"
"74","SRP063840","SRX1253672","PDX, metastatic RCC_5","metastatic renal cell carcinoma","patient-derived xenograft"
"75","SRP063840","SRX1253747","PDX, primary RCC_43","primary renal cell carcinoma","patient-derived xenograft"
"76","SRP063840","SRX1253730","PDX, primary RCC_26","primary renal cell carcinoma","patient-derived xenograft"
"77","SRP063840","SRX1253728","PDX, primary RCC_24","primary renal cell carcinoma","patient-derived xenograft"
"78","SRP063840","SRX1253673","PDX, metastatic RCC_6","metastatic renal cell carcinoma","patient-derived xenograft"
"79","SRP063840","SRX1253741","PDX, primary RCC_37","primary renal cell carcinoma","patient-derived xenograft"
"80","SRP063840","SRX1253781","patient, metastatic RCC_29","metastatic renal cell carcinoma","patient"
"81","SRP063840","SRX1253775","patient, metastatic RCC_23","metastatic renal cell carcinoma","patient"
"82","SRP063840","SRX1253739","PDX, primary RCC_35","primary renal cell carcinoma","patient-derived xenograft"
"83","SRP063840","SRX1253716","PDX, primary RCC_12","primary renal cell carcinoma","patient-derived xenograft"
"84","SRP063840","SRX1253772","patient, metastatic RCC_20","metastatic renal cell carcinoma","patient"
"85","SRP063840","SRX1253690","PDX, metastatic RCC_23","metastatic renal cell carcinoma","patient-derived xenograft"
"86","SRP063840","SRX1253681","PDX, metastatic RCC_14","metastatic renal cell carcinoma","patient-derived xenograft"
"87","SRP063840","SRX1253787","patient, metastatic RCC_35","metastatic renal cell carcinoma","patient"
"88","SRP063840","SRX1253742","PDX, primary RCC_38","primary renal cell carcinoma","patient-derived xenograft"
"89","SRP063840","SRX1253762","patient, metastatic RCC_10","metastatic renal cell carcinoma","patient"
"90","SRP063840","SRX1253697","PDX, metastatic RCC_30","metastatic renal cell carcinoma","patient-derived xenograft"
"91","SRP063840","SRX1253723","PDX, primary RCC_19","primary renal cell carcinoma","patient-derived xenograft"
"92","SRP063840","SRX1253746","PDX, primary RCC_42","primary renal cell carcinoma","patient-derived xenograft"
"93","SRP063840","SRX1253773","patient, metastatic RCC_21","metastatic renal cell carcinoma","patient"
"94","SRP063840","SRX1253732","PDX, primary RCC_28","primary renal cell carcinoma","patient-derived xenograft"
"95","SRP063840","SRX1253678","PDX, metastatic RCC_11","metastatic renal cell carcinoma","patient-derived xenograft"
"96","SRP063840","SRX1253718","PDX, primary RCC_14","primary renal cell carcinoma","patient-derived xenograft"
"97","SRP063840","SRX1253668","PDX, metastatic RCC_1","metastatic renal cell carcinoma","patient-derived xenograft"
"98","SRP063840","SRX1253720","PDX, primary RCC_16","primary renal cell carcinoma","patient-derived xenograft"
"99","SRP063840","SRX1253777","patient, metastatic RCC_25","metastatic renal cell carcinoma","patient"
"100","SRP063840","SRX1253696","PDX, metastatic RCC_29","metastatic renal cell carcinoma","patient-derived xenograft"
"101","SRP063840","SRX1253737","PDX, primary RCC_33","primary renal cell carcinoma","patient-derived xenograft"
"102","SRP063840","SRX1253689","PDX, metastatic RCC_22","metastatic renal cell carcinoma","patient-derived xenograft"
"103","SRP063840","SRX1253722","PDX, primary RCC_18","primary renal cell carcinoma","patient-derived xenograft"
"104","SRP063840","SRX1253715","PDX, primary RCC_11","primary renal cell carcinoma","patient-derived xenograft"
"105","SRP063840","SRX1253738","PDX, primary RCC_34","primary renal cell carcinoma","patient-derived xenograft"
"106","SRP063840","SRX1253759","patient, metastatic RCC_7","metastatic renal cell carcinoma","patient"
"107","SRP063840","SRX1253733","PDX, primary RCC_29","primary renal cell carcinoma","patient-derived xenograft"
"108","SRP063840","SRX1253679","PDX, metastatic RCC_12","metastatic renal cell carcinoma","patient-derived xenograft"
"109","SRP063840","SRX1253761","patient, metastatic RCC_9","metastatic renal cell carcinoma","patient"
"110","SRP063840","SRX1253756","patient, metastatic RCC_4","metastatic renal cell carcinoma","patient"
"111","SRP063840","SRX1253708","PDX, primary RCC_4","primary renal cell carcinoma","patient-derived xenograft"
"112","SRP063840","SRX1253719","PDX, primary RCC_15","primary renal cell carcinoma","patient-derived xenograft"
"113","SRP063840","SRX1253698","PDX, metastatic RCC_31","metastatic renal cell carcinoma","patient-derived xenograft"
"114","SRP063840","SRX1253699","PDX, metastatic RCC_32","metastatic renal cell carcinoma","patient-derived xenograft"
"115","SRP063840","SRX1253748","PDX, primary RCC_44","primary renal cell carcinoma","patient-derived xenograft"
"116","SRP063840","SRX1253743","PDX, primary RCC_39","primary renal cell carcinoma","patient-derived xenograft"
"117","SRP063840","SRX1253704","PDX, metastatic RCC_37","metastatic renal cell carcinoma","patient-derived xenograft"
"118","SRP063840","SRX1253695","PDX, metastatic RCC_28","metastatic renal cell carcinoma","patient-derived xenograft"
"119","SRP063840","SRX1253724","PDX, primary RCC_20","primary renal cell carcinoma","patient-derived xenograft"
"120","SRP063840","SRX1253669","PDX, metastatic RCC_2","metastatic renal cell carcinoma","patient-derived xenograft"
"121","SRP063840","SRX1253702","PDX, metastatic RCC_35","metastatic renal cell carcinoma","patient-derived xenograft"
