"","study.accession","experiment.accession","source_name","injected.cells","treatment","time.point","tissue"
"56","SRP110615","SRX2961690","Neuroblastoma","SK-N-AS","AZA + RA","EP","Tumor"
"57","SRP110615","SRX2961663","Neuroblastoma","LAN-1","DMSO (CTRL)","day10","Tumor"
"58","SRP110615","SRX2961673","Neuroblastoma","LAN-1","DMSO (CTRL)","day14","Tumor"
"59","SRP110615","SRX2961685","Neuroblastoma","SK-N-AS","AZA","EP","Tumor"
"60","SRP110615","SRX2961686","Neuroblastoma","SK-N-AS","AZA","EP","Tumor"
"61","SRP110615","SRX2961666","Neuroblastoma","LAN-1","AZA + RA","day10","Tumor"
"62","SRP110615","SRX2961681","Neuroblastoma","LAN-1","RA","EP","Tumor"
"63","SRP110615","SRX2961661","Neuroblastoma","LAN-1","DMSO (CTRL)","day10","Tumor"
"64","SRP110615","SRX2961632","Neuroblastoma","CHP212","AZA","EP","Tumor"
"65","SRP110615","SRX2961683","Neuroblastoma","LAN-1","RA","EP","Tumor"
"66","SRP110615","SRX2961653","Neuroblastoma","LAN-1","AZA + RA","EP","Tumor"
"67","SRP110615","SRX2961634","Neuroblastoma","CHP212","AZA","EP","Tumor"
"68","SRP110615","SRX2961662","Neuroblastoma","LAN-1","DMSO (CTRL)","day10","Tumor"
