"","study.accession","experiment.accession","Sample.Name","cell.line","cell.type","ebv.status","kshv.status","replicate"
"24","ERP020609","ERX2088560","ERS1815584","EK3-11","B cell","positive","positive","1"
"25","ERP020609","ERX2088609","ERS1815602","HBL6","B cell","positive","positive","1"
"26","ERP020609","ERX2088541","ERS1815578","E4-9","B cell","positive","negative","1"
"27","ERP020609","ERX2088536","ERS1815576","E4-3","B cell","positive","negative","2"
"28","ERP020609","ERX2088562","ERS1815585","EK3-11","B cell","positive","positive","2"
"29","ERP020609","ERX2088549","ERS1815581","EK4-11","B cell","positive","positive","1"
"30","ERP020609","ERX2088578","ERS1815592","LCL2","B cell","positive","negative","1"
"31","ERP020609","ERX2088563","ERS1815585","EK3-11","B cell","positive","positive","2"
"32","ERP020609","ERX2088572","ERS1815590","LCL1","B cell","positive","negative","2"
"33","ERP020609","ERX2088555","ERS1815583","EK4-11","B cell","positive","positive","3"
"34","ERP020609","ERX2088593","ERS1815597","LCL3","B cell","positive","negative","3"
"35","ERP020609","ERX2088543","ERS1815579","E4-9","B cell","positive","negative","2"
"36","ERP020609","ERX2088598","ERS1815599","AP2","B cell","positive","positive","1"
"37","ERP020609","ERX2088580","ERS1815592","LCL2","B cell","positive","negative","1"
"38","ERP020609","ERX2088569","ERS1815589","LCL1","B cell","positive","negative","1"
"39","ERP020609","ERX2088587","ERS1815595","LCL3","B cell","positive","negative","1"
"40","ERP020609","ERX2088603","ERS1815600","AP3","B cell","negative","positive","1"
"41","ERP020609","ERX2088589","ERS1815595","LCL3","B cell","positive","negative","1"
"42","ERP020609","ERX2088532","ERS1815575","E4-3","B cell","positive","negative","1"
"43","ERP020609","ERX2088568","ERS1815588","EK3-13","B cell","positive","positive","2"
"44","ERP020609","ERX2088600","ERS1815599","AP2","B cell","positive","positive","1"
"45","ERP020609","ERX2088556","ERS1815583","EK4-11","B cell","positive","positive","3"
"46","ERP020609","ERX2088552","ERS1815582","EK4-11","B cell","positive","positive","2"
"47","ERP020609","ERX2088577","ERS1815591","LCL1","B cell","positive","negative","3"
"48","ERP020609","ERX2088544","ERS1815579","E4-9","B cell","positive","negative","2"
"49","ERP020609","ERX2088533","ERS1815575","E4-3","B cell","positive","negative","1"
"50","ERP020609","ERX2088570","ERS1815589","LCL1","B cell","positive","negative","1"
"51","ERP020609","ERX2088581","ERS1815593","LCL2","B cell","positive","negative","2"
"52","ERP020609","ERX2088550","ERS1815581","EK4-11","B cell","positive","positive","1"
"53","ERP020609","ERX2088579","ERS1815592","LCL2","B cell","positive","negative","1"
"54","ERP020609","ERX2088565","ERS1815586","EK3-11","B cell","positive","positive","3"
"55","ERP020609","ERX2088554","ERS1815582","EK4-11","B cell","positive","positive","2"
"56","ERP020609","ERX2088538","ERS1815577","E4-3","B cell","positive","negative","3"
"57","ERP020609","ERX2088596","ERS1815598","BCBL1","B cell","negative","positive","1"
"58","ERP020609","ERX2088608","ERS1815602","HBL6","B cell","positive","positive","1"
"59","ERP020609","ERX2088531","ERS1815575","E4-3","B cell","positive","negative","1"
"60","ERP020609","ERX2088537","ERS1815577","E4-3","B cell","positive","negative","3"
"61","ERP020609","ERX2088558","ERS1815584","EK3-11","B cell","positive","positive","1"
"62","ERP020609","ERX2088566","ERS1815586","EK3-11","B cell","positive","positive","3"
"63","ERP020609","ERX2088585","ERS1815594","LCL2","B cell","positive","negative","3"
"64","ERP020609","ERX2088584","ERS1815594","LCL2","B cell","positive","negative","3"
"65","ERP020609","ERX2088594","ERS1815597","LCL3","B cell","positive","negative","3"
"66","ERP020609","ERX2088588","ERS1815595","LCL3","B cell","positive","negative","1"
"67","ERP020609","ERX2088546","ERS1815580","E4-9","B cell","positive","negative","3"
"68","ERP020609","ERX2088592","ERS1815596","LCL3","B cell","positive","negative","2"
"69","ERP020609","ERX2088597","ERS1815598","BCBL1","B cell","negative","positive","1"
"70","ERP020609","ERX2088605","ERS1815601","AP5","B cell","positive","positive","1"
"71","ERP020609","ERX2088557","ERS1815583","EK4-11","B cell","positive","positive","3"
"72","ERP020609","ERX2088595","ERS1815597","LCL3","B cell","positive","negative","3"
"73","ERP020609","ERX2088573","ERS1815590","LCL1","B cell","positive","negative","2"
"74","ERP020609","ERX2088591","ERS1815596","LCL3","B cell","positive","negative","2"
"75","ERP020609","ERX2088551","ERS1815581","EK4-11","B cell","positive","positive","1"
"76","ERP020609","ERX2088575","ERS1815591","LCL1","B cell","positive","negative","3"
"77","ERP020609","ERX2088564","ERS1815586","EK3-11","B cell","positive","positive","3"
"78","ERP020609","ERX2088559","ERS1815584","EK3-11","B cell","positive","positive","1"
"79","ERP020609","ERX2088539","ERS1815577","E4-3","B cell","positive","negative","3"
