"","study.accession","experiment.accession","source_name","disease.status","tissue","sample.type"
"53","SRP078505","SRX1949020","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"54","SRP078505","SRX1949047","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"55","SRP078505","SRX1949111","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"56","SRP078505","SRX1949053","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"57","SRP078505","SRX1949055","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"58","SRP078505","SRX1948990","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"59","SRP078505","SRX1949040","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"60","SRP078505","SRX1949090","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"61","SRP078505","SRX1949099","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"62","SRP078505","SRX1948997","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"63","SRP078505","SRX1948986","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"64","SRP078505","SRX1949075","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"65","SRP078505","SRX1949014","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"66","SRP078505","SRX1949033","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"67","SRP078505","SRX1949026","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"68","SRP078505","SRX1949048","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"69","SRP078505","SRX1949114","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"70","SRP078505","SRX1949093","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"71","SRP078505","SRX1949081","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"72","SRP078505","SRX1949028","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"73","SRP078505","SRX1949072","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"74","SRP078505","SRX1949011","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"75","SRP078505","SRX1949085","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"76","SRP078505","SRX1949046","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"77","SRP078505","SRX1948976","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"78","SRP078505","SRX1948989","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"79","SRP078505","SRX1948993","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"80","SRP078505","SRX1949071","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"81","SRP078505","SRX1948981","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"82","SRP078505","SRX1949104","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"83","SRP078505","SRX1949097","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"84","SRP078505","SRX1949027","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"85","SRP078505","SRX1949024","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"86","SRP078505","SRX1949049","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"87","SRP078505","SRX1948998","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"88","SRP078505","SRX1949044","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"89","SRP078505","SRX1949037","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"90","SRP078505","SRX1949068","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"91","SRP078505","SRX1949092","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"92","SRP078505","SRX1949008","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"93","SRP078505","SRX1949056","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"94","SRP078505","SRX1949070","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"95","SRP078505","SRX1949030","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"96","SRP078505","SRX1949032","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"97","SRP078505","SRX1949018","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"98","SRP078505","SRX1949095","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"99","SRP078505","SRX1948982","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"100","SRP078505","SRX1949078","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"101","SRP078505","SRX1949012","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"102","SRP078505","SRX1949069","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"103","SRP078505","SRX1949115","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"104","SRP078505","SRX1949036","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"105","SRP078505","SRX1949004","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"106","SRP078505","SRX1948974","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"107","SRP078505","SRX1949034","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"108","SRP078505","SRX1949064","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"109","SRP078505","SRX1949042","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"110","SRP078505","SRX1949017","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"111","SRP078505","SRX1949107","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"112","SRP078505","SRX1948969","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"113","SRP078505","SRX1949002","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"114","SRP078505","SRX1948995","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"115","SRP078505","SRX1949102","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"116","SRP078505","SRX1949041","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"117","SRP078505","SRX1948978","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"118","SRP078505","SRX1949031","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"119","SRP078505","SRX1949035","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"120","SRP078505","SRX1948975","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"121","SRP078505","SRX1948999","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"122","SRP078505","SRX1949094","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"123","SRP078505","SRX1948994","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"124","SRP078505","SRX1949043","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"125","SRP078505","SRX1949058","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"126","SRP078505","SRX1948996","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"127","SRP078505","SRX1949013","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"128","SRP078505","SRX1949091","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"129","SRP078505","SRX1949054","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"130","SRP078505","SRX1949103","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"131","SRP078505","SRX1949113","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"132","SRP078505","SRX1949079","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"133","SRP078505","SRX1949038","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"134","SRP078505","SRX1949062","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"135","SRP078505","SRX1948977","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"136","SRP078505","SRX1949112","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"137","SRP078505","SRX1949067","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"138","SRP078505","SRX1949117","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"139","SRP078505","SRX1949029","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"140","SRP078505","SRX1948970","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"141","SRP078505","SRX1948980","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"142","SRP078505","SRX1948987","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"143","SRP078505","SRX1949061","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"144","SRP078505","SRX1949096","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"145","SRP078505","SRX1949065","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"146","SRP078505","SRX1949025","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"147","SRP078505","SRX1949050","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"148","SRP078505","SRX1949119","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"149","SRP078505","SRX1949109","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"150","SRP078505","SRX1949060","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"151","SRP078505","SRX1949116","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"152","SRP078505","SRX1948968","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
