"","study.accession","experiment.accession","source_name","cell.type","cell.type.1","disease"
"55","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"56","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"57","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"58","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"59","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"60","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"61","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"62","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"63","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"64","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"65","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"66","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"67","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"68","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"69","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"70","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"71","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"72","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"73","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"74","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"75","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"76","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"77","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"78","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"79","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"80","SRP038917","SRX475823","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"81","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"82","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"83","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"84","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"85","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"86","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"87","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"88","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"89","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"90","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"91","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"92","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"93","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"94","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"95","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"96","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"97","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"98","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"99","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"100","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"101","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"102","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"103","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"104","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"105","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"106","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"107","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"108","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"109","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"110","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"111","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"112","SRP038917","SRX475820","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"113","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"114","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"115","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"116","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"117","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"118","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"119","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"120","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"121","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"122","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"123","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"124","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"125","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"126","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"127","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"128","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"129","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"130","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"131","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"132","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"133","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"134","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"135","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"136","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"137","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"138","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"139","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"140","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"141","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"142","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"143","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"144","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"145","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"146","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"147","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"148","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"149","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"150","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"151","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"152","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"153","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"154","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"155","SRP038917","SRX475823","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"156","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"157","SRP038917","SRX475841","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"158","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"159","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"160","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"161","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"162","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"163","SRP038917","SRX475837","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"164","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"165","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"166","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"167","SRP038917","SRX475823","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"168","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"169","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"170","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"171","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"172","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"173","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"174","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"175","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"176","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"177","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"178","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"179","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
